,test,secondsTotal.flakerake-obo,failureID-flakerake-obo.uniqueCount,secondsTotal.flakerake,failureID-flakerake.uniqueCount,secondsTotal.isolatedRerun,failureID-isolatedRerun.uniqueCount
,com.github.kevinsawicki.http.HttpRequestTest#singleVerifier,2625.888216495514,1,2563.3986971378326,1,1942.3459999999902,1
,com.github.kevinsawicki.http.HttpRequestTest#verifierAccepts,2739.2851102352142,1,2676.4503767490387,1,1941.9529999999845,1
,com.google.zxing.aztec.encoder.EncoderTest#testAztecWriter,13.391292810440063,1,15.061815738677979,1,324.3570000000005,1
,com.google.zxing.pdf417.decoder.ec.ErrorCorrectionTestCase#testTooManyErrors,12.497644662857056,1,13.425300121307373,1,162.3129999999892,1
,com.squareup.okhttp.AsyncApiTest#redirect,3138.799419403076,2,4690.457978248596,2,1039.5419999999945,2
,com.squareup.okhttp.internal.http.HttpResponseCacheTest#clientPrematureDisconnectWithChunkedEncoding,13067.656891345978,2,13066.772317409515,2,11964.501999999371,2
,com.squareup.okhttp.internal.http.HttpResponseCacheTest#expirationDateInThePastWithLastModifiedHeader,4336.147630214691,1,4338.351003408432,1,1123.5340000000006,1
,com.squareup.okhttp.internal.http.HttpResponseCacheTest#responseCachingByResponseCode,19474.230889320374,3,19476.203762292862,3,2366.485000000003,3
,com.squareup.okhttp.internal.http.HttpResponseCacheTest#responseCaching_410,3247.880921602249,1,3240.0742750167847,1,1024.2729999999847,1
,com.squareup.okhttp.internal.http.HttpResponseCacheTest#responseSourceHeaderConditionalCacheNotFetched,3716.9492526054382,1,3715.284330844879,1,1058.0349999999835,1
,com.squareup.okhttp.internal.http.HttpResponseCacheTest#responseSourceHeaderFetched,3074.5002703666687,1,3074.9262137413025,1,982.4040000000037,1
,com.squareup.okhttp.internal.http.HttpResponseCacheTest#statisticsConditionalCacheMiss,4319.467703819275,1,4317.105100870132,1,1078.2289999999964,1
