sleepyline.cause,sleepyline
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/BlockingArrayQueue:offer:192
java/net/ServerSocket.bind(Ljava/net/SocketAddress;I)V,org/eclipse/jetty/server/nio/SelectChannelConnector:open:188
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,org/eclipse/jetty/server/nio/SelectChannelConnector:open:188
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:isLowOnThreads:423
java/nio/channels/ServerSocketChannel.open()Ljava/nio/channels/ServerSocketChannel;,org/eclipse/jetty/server/nio/SelectChannelConnector:open:180
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/eclipse/jetty/webapp/WebAppClassLoader:<init>:142
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,org/eclipse/jetty/webapp/WebAppClassLoader:<init>:142
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStart:106
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,org/eclipse/jetty/server/nio/SelectChannelConnector:open:185
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,org/eclipse/jetty/server/nio/SelectChannelConnector:open:186
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,org/apache/thrift/transport/TNonblockingServerSocket:<init>:83
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:getIdleThreads:414
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,org/apache/thrift/transport/TNonblockingServerSocket:<init>:82
java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,org/eclipse/jetty/util/BlockingArrayQueue:offer:215
java/util/concurrent/locks/ReentrantLock.unlock()V,org/eclipse/jetty/util/BlockingArrayQueue:offer:231
java/util/concurrent/BlockingQueue.offer(Ljava/lang/Object;)Z,org/eclipse/jetty/util/thread/QueuedThreadPool:dispatch:360
java/util/concurrent/atomic/AtomicInteger.get()I,tachyon/MasterInfo:createImage:707
java/util/concurrent/locks/ReentrantLock.lock()V,org/eclipse/jetty/util/BlockingArrayQueue:offer:225
java/util/concurrent/locks/ReentrantLock.newCondition()Ljava/util/concurrent/locks/Condition;,org/eclipse/jetty/util/BlockingArrayQueue:<init>:60
java/net/ServerSocket.bind(Ljava/net/SocketAddress;I)V,org/eclipse/jetty/server/nio/SelectChannelConnector:open:187
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,org/eclipse/jetty/server/nio/SelectChannelConnector:open:187
java/nio/channels/Selector.open()Ljava/nio/channels/Selector;,org/eclipse/jetty/io/nio/SelectorManager$SelectSet:<init>:416
java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,org/eclipse/jetty/util/BlockingArrayQueue:offer:214
java/lang/System.currentTimeMillis()J,org/eclipse/jetty/io/nio/SelectorManager$SelectSet:<init>:411
java/net/ServerSocket.bind(Ljava/net/SocketAddress;)V,org/apache/thrift/transport/TNonblockingServerSocket:<init>:86
java/lang/Thread.start()V,tachyon/MasterInfo:<init>:316
java/lang/System.currentTimeMillis()J,org/eclipse/jetty/io/nio/SelectorManager$SelectSet:<init>:412
java/lang/System.currentTimeMillis()J,tachyon/MasterInfo:<init>:297
java/util/concurrent/locks/ReentrantLock.lock()V,org/eclipse/jetty/util/BlockingArrayQueue:offer:224
java/lang/System.currentTimeMillis()J,org/eclipse/jetty/server/handler/DefaultHandler:<init>:59
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,org/eclipse/jetty/server/nio/SelectChannelConnector:open:190
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:isLowOnThreads:422
java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,org/apache/thrift/server/TNonblockingServer$SelectThread:cleanupSelectionkey:388
java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:516
java/nio/channels/SelectionKey.isReadable()Z,org/apache/thrift/server/TNonblockingServer$SelectThread:select:303
java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,org/apache/thrift/server/TNonblockingServer$SelectThread:handleWrite:376
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:491
java/nio/channels/SelectionKey.isWritable()Z,org/apache/thrift/server/TNonblockingServer$SelectThread:select:305
java/nio/channels/SocketChannel.read(Ljava/nio/ByteBuffer;)I,org/apache/thrift/transport/TNonblockingSocket:read:141
java/nio/channels/SelectionKey.isAcceptable()Z,org/apache/thrift/server/TNonblockingServer$SelectThread:select:300
java/nio/channels/SelectionKey.isValid()Z,org/apache/thrift/server/TNonblockingServer$SelectThread:select:294
java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,org/apache/thrift/server/TNonblockingServer$SelectThread:handleRead:358
java/nio/channels/SelectionKey.isReadable()Z,org/apache/thrift/server/TNonblockingServer$SelectThread:select:302
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/apache/thrift/transport/TNonblockingSocket:setTimeout:109
java/nio/channels/SocketChannel.write(Ljava/nio/ByteBuffer;)I,org/apache/thrift/transport/TNonblockingSocket:write:164
java/nio/channels/SelectionKey.isValid()Z,org/apache/thrift/server/TNonblockingServer$SelectThread:select:293
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:<init>:446
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:492
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:prepareRead:687
java/nio/ByteBuffer.getInt(I)I,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:466
java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,org/apache/thrift/server/TNonblockingServer$SelectThread:handleRead:359
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/apache/thrift/transport/TNonblockingSocket:setTimeout:110
java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:prepareRead:685
java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:515
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,org/apache/thrift/server/TNonblockingServer$SelectThread:select:288
java/nio/channels/SelectionKey.isWritable()Z,org/apache/thrift/server/TNonblockingServer$SelectThread:select:306
java/util/concurrent/atomic/AtomicLong.get()J,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:484
java/nio/channels/SocketChannel.isConnected()Z,org/apache/thrift/transport/TNonblockingSocket:<init>:74
java/nio/channels/Selector.select()I,org/apache/thrift/server/TNonblockingServer$SelectThread:select:285
java/nio/channels/SelectionKey.isAcceptable()Z,org/apache/thrift/server/TNonblockingServer$SelectThread:select:301
java/nio/channels/SelectionKey.cancel()V,org/apache/thrift/server/TNonblockingServer$SelectThread:cleanupSelectionkey:394
java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:488
java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,org/apache/thrift/server/THsHaServer:requestInvoke:176
java/nio/channels/SelectionKey.attach(Ljava/lang/Object;)Ljava/lang/Object;,org/apache/thrift/server/TNonblockingServer$SelectThread:handleAccept:343
java/nio/channels/SocketChannel.read(Ljava/nio/ByteBuffer;)I,org/apache/thrift/transport/TNonblockingSocket:read:142
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:prepareRead:688
java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,org/apache/thrift/server/THsHaServer:requestInvoke:175
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:<init>:445
java/nio/channels/SocketChannel.write(Ljava/nio/ByteBuffer;)I,org/apache/thrift/transport/TNonblockingSocket:write:165
java/nio/channels/SelectionKey.cancel()V,org/apache/thrift/server/TNonblockingServer$SelectThread:cleanupSelectionkey:393
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/apache/thrift/transport/TNonblockingSocket:<init>:85
java/nio/channels/Selector.select()I,org/apache/thrift/server/TNonblockingServer$SelectThread:select:284
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,org/apache/thrift/server/TNonblockingServer$SelectThread:select:287
java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:changeSelectInterests:560
java/nio/ByteBuffer.getInt(I)I,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:467
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/apache/thrift/transport/TNonblockingSocket:<init>:86
java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,org/apache/thrift/transport/TNonblockingServerSocket:acceptImpl:110
java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:changeSelectInterests:559
java/util/concurrent/atomic/AtomicLong.get()J,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:483
java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:prepareRead:686
java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,org/apache/thrift/server/TNonblockingServer$SelectThread:handleWrite:377
java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,org/apache/thrift/transport/TNonblockingServerSocket:acceptImpl:109
java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,org/apache/thrift/server/TNonblockingServer$FrameBuffer:read:489
java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,org/apache/thrift/server/TNonblockingServer$SelectThread:cleanupSelectionkey:387
java/nio/channels/SelectionKey.attach(Ljava/lang/Object;)Ljava/lang/Object;,org/apache/thrift/server/TNonblockingServer$SelectThread:handleAccept:344
java/nio/channels/SocketChannel.isConnected()Z,org/apache/thrift/transport/TNonblockingSocket:<init>:73
java/nio/channels/Selector.select()I,tachyon/DataServer:run:182
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:requestSelectInterestChange:700
java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:responseReady:612
java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:responseReady:611
java/nio/ByteBuffer.array()[B,org/apache/thrift/server/TNonblockingServer$FrameBuffer:getInputTransport:651
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/apache/thrift/server/TNonblockingServer$SelectThread:requestSelectInterestChange:270
java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,org/apache/thrift/server/TNonblockingServer$FrameBuffer:responseReady:604
java/nio/ByteBuffer.array()[B,org/apache/thrift/server/TNonblockingServer$FrameBuffer:responseReady:604
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/thrift/server/TNonblockingServer$FrameBuffer:requestSelectInterestChange:699
java/io/OutputStream.flush()V,org/apache/thrift/transport/TIOStreamTransport:flush:160
java/nio/ByteBuffer.array()[B,org/apache/thrift/server/TNonblockingServer$FrameBuffer:responseReady:605
java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,org/apache/thrift/server/TNonblockingServer$FrameBuffer:responseReady:605
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/apache/thrift/server/TNonblockingServer$SelectThread:requestSelectInterestChange:271
java/lang/System.currentTimeMillis()J,tachyon/UserInfo:<init>:20
java/io/OutputStream.flush()V,org/apache/thrift/transport/TIOStreamTransport:flush:159
java/nio/ByteBuffer.array()[B,org/apache/thrift/server/TNonblockingServer$FrameBuffer:getInputTransport:650
java/lang/System.currentTimeMillis()J,tachyon/UserInfo:heartbeat:37
java/lang/System.currentTimeMillis()J,tachyon/UserInfo:<init>:21
java/lang/System.currentTimeMillis()J,tachyon/UserInfo:heartbeat:36
java/lang/System.currentTimeMillis()J,tachyon/MasterWorkerInfo:<init>:36
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,tachyon/MasterInfo:registerWorker:1580
java/lang/System.currentTimeMillis()J,tachyon/MasterWorkerInfo:<init>:37
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,tachyon/MasterInfo:registerWorker:1579
java/lang/System.currentTimeMillis()J,tachyon/MasterWorkerInfo:updateLastUpdatedTimeMs:130
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,tachyon/CommonUtils:generateNewByteBufferFromThriftRPCResults:95
java/lang/System.currentTimeMillis()J,tachyon/MasterWorkerInfo:<init>:32
java/lang/System.currentTimeMillis()J,tachyon/MasterWorkerInfo:<init>:31
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,tachyon/MasterInfo:getNewUserId:1301
java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,org/apache/thrift/protocol/TBinaryProtocol:readBinary:367
java/lang/System.currentTimeMillis()J,tachyon/MasterWorkerInfo:updateLastUpdatedTimeMs:129
java/nio/ByteBuffer.put(Ljava/nio/ByteBuffer;)Ljava/nio/ByteBuffer;,tachyon/CommonUtils:generateNewByteBufferFromThriftRPCResults:97
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,tachyon/MasterInfo:getNewUserId:1300
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,tachyon/CommonUtils:generateNewByteBufferFromThriftRPCResults:96
java/nio/ByteBuffer.put(Ljava/nio/ByteBuffer;)Ljava/nio/ByteBuffer;,tachyon/CommonUtils:generateNewByteBufferFromThriftRPCResults:96
java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,org/apache/thrift/protocol/TBinaryProtocol:readBinary:366
java/lang/System.currentTimeMillis()J,tachyon/MasterClient:connect:136
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:137
java/lang/Thread.yield()V,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:129
java/lang/System.currentTimeMillis()J,tachyon/MasterClient:connect:137
java/util/concurrent/CopyOnWriteArrayList.iterator()Ljava/util/Iterator;,org/eclipse/jetty/util/component/AbstractLifeCycle:setStopped:198
java/lang/Thread.start()V,tachyon/LocalTachyonCluster:start:147
java/lang/System.currentTimeMillis()J,tachyon/MasterClient:connect:121
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:133
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,org/eclipse/jetty/server/handler/ContextHandler:doStop:767
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/eclipse/jetty/server/handler/ContextHandler:doStop:767
java/util/concurrent/CopyOnWriteArrayList.iterator()Ljava/util/Iterator;,org/eclipse/jetty/util/component/AbstractLifeCycle:setStopping:189
java/nio/channels/Selector.close()V,tachyon/DataServer:close:170
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/log4j/helpers/Loader:getTCL:167
java/nio/ByteBuffer.array()[B,org/apache/thrift/protocol/TBinaryProtocol:writeBinary:197
java/nio/ByteBuffer.arrayOffset()I,org/apache/thrift/protocol/TBinaryProtocol:writeBinary:197
java/net/Socket.connect(Ljava/net/SocketAddress;I)V,org/apache/thrift/transport/TSocket:open:178
java/lang/System.currentTimeMillis()J,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:121
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:121
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,org/eclipse/jetty/server/handler/ContextHandler:doStop:768
java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,org/eclipse/jetty/server/handler/ContextHandler:doStop:768
java/util/concurrent/CopyOnWriteArrayList.iterator()Ljava/util/Iterator;,org/eclipse/jetty/util/component/AbstractLifeCycle:setStopped:197
java/net/Socket.connect(Ljava/net/SocketAddress;I)V,org/apache/thrift/transport/TSocket:open:179
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:132
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,tachyon/DataServer:initSelector:70
java/net/ServerSocket.bind(Ljava/net/SocketAddress;)V,tachyon/DataServer:initSelector:70
java/lang/Thread.sleep(J)V,tachyon/CommonUtils:sleepMs:228
java/lang/System.currentTimeMillis()J,tachyon/MasterClient:connect:122
java/lang/Object.notifyAll()V,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:163
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/log4j/helpers/Loader:getTCL:166
java/lang/Thread.yield()V,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:130
java/lang/Thread.start()V,tachyon/WorkerStorage:<init>:292
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:128
java/util/concurrent/CopyOnWriteArrayList.iterator()Ljava/util/Iterator;,org/eclipse/jetty/util/component/AbstractLifeCycle:setStopping:190
java/lang/Thread.start()V,tachyon/LocalTachyonCluster:start:132
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,tachyon/client/TachyonFS:createRawTable:306
java/lang/Thread.stop()V,tachyon/Worker:stop:162
java/lang/Thread.yield()V,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:141
java/io/OutputStream.close()V,org/apache/thrift/transport/TIOStreamTransport:close:110
java/lang/Thread.start()V,tachyon/LocalTachyonCluster:start:133
java/nio/ByteBuffer.arrayOffset()I,org/apache/thrift/protocol/TBinaryProtocol:writeBinary:196
java/nio/ByteBuffer.array()[B,org/apache/thrift/protocol/TBinaryProtocol:writeBinary:196
java/net/ServerSocket.bind(Ljava/net/SocketAddress;)V,tachyon/DataServer:initSelector:71
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,tachyon/DataServer:initSelector:71
java/util/concurrent/locks/ReentrantLock.lock()V,org/eclipse/jetty/util/BlockingArrayQueue:clear:379
java/lang/Thread.stop()V,tachyon/Worker:stop:163
java/util/concurrent/locks/ReentrantLock.unlock()V,org/eclipse/jetty/util/BlockingArrayQueue:clear:396
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/eclipse/jetty/server/handler/ContextHandler:doStop:766
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:138
java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,org/eclipse/jetty/server/handler/ContextHandler:doStop:769
java/util/concurrent/ConcurrentLinkedQueue.size()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:143
java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,org/eclipse/jetty/server/handler/ContextHandler:doStop:800
java/util/concurrent/locks/ReentrantLock.lock()V,org/eclipse/jetty/util/BlockingArrayQueue:clear:380
java/util/concurrent/ConcurrentLinkedQueue.size()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:142
java/lang/Thread.yield()V,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:142
java/util/concurrent/atomic/AtomicInteger.set(I)V,org/eclipse/jetty/util/BlockingArrayQueue:clear:387
java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,org/eclipse/jetty/server/handler/ContextHandler:doStop:799
java/lang/System.currentTimeMillis()J,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:119
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/apache/thrift/server/TNonblockingServer$SelectThread:wakeupSelector:258
java/lang/System.currentTimeMillis()J,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:118
java/lang/Thread.start()V,tachyon/LocalTachyonCluster:start:146
java/lang/System.currentTimeMillis()J,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:122
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:122
java/lang/Thread.start()V,tachyon/WorkerStorage:<init>:291
java/lang/Object.notifyAll()V,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:162
java/lang/Thread.sleep(J)V,tachyon/CommonUtils:sleepMs:229
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/apache/thrift/server/TNonblockingServer$SelectThread:wakeupSelector:257
java/nio/channels/Selector.close()V,org/eclipse/jetty/io/nio/SelectorManager$SelectSet:stop:909
java/util/concurrent/atomic/AtomicInteger.get()I,org/eclipse/jetty/util/thread/QueuedThreadPool:doStop:127
java/nio/channels/ServerSocketChannel.open()Ljava/nio/channels/ServerSocketChannel;,tachyon/DataServer:initSelector:67
java/nio/channels/Selector.close()V,org/eclipse/jetty/io/nio/SelectorManager$SelectSet:stop:910
java/util/concurrent/locks/ReentrantLock.unlock()V,org/eclipse/jetty/util/BlockingArrayQueue:clear:397
java/nio/channels/Selector.close()V,tachyon/DataServer:close:171
java/nio/channels/Selector.keys()Ljava/util/Set;,org/eclipse/jetty/io/nio/SelectorManager$SelectSet:stop:885
java/io/OutputStream.close()V,org/apache/thrift/transport/TIOStreamTransport:close:111
java/nio/channels/ServerSocketChannel.open()Ljava/nio/channels/ServerSocketChannel;,tachyon/DataServer:initSelector:66
java/util/concurrent/locks/ReentrantLock.unlock()V,org/eclipse/jetty/util/BlockingArrayQueue:clear:392
java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,tachyon/client/TachyonFS:createRawTable:307
java/util/concurrent/locks/ReentrantLock.lock()V,org/eclipse/jetty/util/BlockingArrayQueue:clear:382
java/util/concurrent/atomic/AtomicInteger.set(I)V,org/eclipse/jetty/util/BlockingArrayQueue:clear:388
java/util/concurrent/locks/ReentrantLock.unlock()V,org/eclipse/jetty/util/BlockingArrayQueue:clear:391
java/util/concurrent/locks/ReentrantLock.lock()V,org/eclipse/jetty/util/BlockingArrayQueue:clear:383
java/nio/channels/Selector.keys()Ljava/util/Set;,org/eclipse/jetty/io/nio/SelectorManager$SelectSet:stop:884
java/nio/channels/Selector.select()I,tachyon/DataServer:run:183
java/lang/System.currentTimeMillis()J,org/apache/thrift/server/THsHaServer:gracefullyShutdownInvokerPool:155
java/util/concurrent/ExecutorService.awaitTermination(JLjava/util/concurrent/TimeUnit;)Z,org/apache/thrift/server/THsHaServer:gracefullyShutdownInvokerPool:157
java/util/concurrent/ExecutorService.shutdown()V,org/apache/thrift/server/THsHaServer:gracefullyShutdownInvokerPool:148
java/net/ServerSocket.close()V,org/apache/thrift/transport/TNonblockingServerSocket:close:137
java/net/ServerSocket.close()V,org/apache/thrift/transport/TNonblockingServerSocket:close:136
java/util/concurrent/ExecutorService.awaitTermination(JLjava/util/concurrent/TimeUnit;)Z,org/apache/thrift/server/THsHaServer:gracefullyShutdownInvokerPool:158
java/lang/System.currentTimeMillis()J,org/apache/thrift/server/THsHaServer:gracefullyShutdownInvokerPool:154
java/util/concurrent/atomic/AtomicReference.get()Ljava/lang/Object;,org/gradle/internal/concurrent/DefaultExecutorFactory$StoppableExecutorImpl:stop:100
java/util/concurrent/BlockingQueue.take()Ljava/lang/Object;,org/gradle/tooling/internal/consumer/BlockingResultHandler:getResult:41
java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,org/gradle/internal/concurrent/DefaultExecutorFactory$ThreadFactoryImpl:newThread:119
java/util/concurrent/ExecutorService.awaitTermination(JLjava/util/concurrent/TimeUnit;)Z,org/gradle/internal/concurrent/DefaultExecutorFactory$StoppableExecutorImpl:stop:93
java/util/concurrent/locks/Lock.unlock()V,org/gradle/tooling/internal/consumer/connection/LazyConnection:stop:74
java/util/concurrent/atomic/AtomicBoolean.get()Z,org/gradle/tooling/internal/consumer/async/DefaultAsyncConnection:onStartOperation:81
java/util/concurrent/atomic/AtomicReference.get()Ljava/lang/Object;,org/gradle/internal/concurrent/DefaultExecutorFactory$StoppableExecutorImpl:stop:101
java/util/concurrent/locks/Lock.lock()V,org/gradle/tooling/internal/consumer/connection/LazyConnection:stop:61
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,org/gradle/tooling/internal/consumer/async/DefaultAsyncConnection:stop:57
java/util/concurrent/atomic/AtomicBoolean.get()Z,org/gradle/tooling/internal/consumer/async/DefaultAsyncConnection:onStartOperation:80
java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,org/gradle/internal/concurrent/DefaultExecutorFactory$StoppableExecutorImpl:execute:63
java/util/concurrent/ExecutorService.shutdown()V,org/gradle/internal/concurrent/DefaultExecutorFactory$StoppableExecutorImpl:requestStop:80
java/util/concurrent/BlockingQueue.take()Ljava/lang/Object;,org/gradle/tooling/internal/consumer/BlockingResultHandler:getResult:40
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,org/gradle/tooling/internal/consumer/async/DefaultAsyncConnection:stop:58
java/util/concurrent/ExecutorService.awaitTermination(JLjava/util/concurrent/TimeUnit;)Z,org/gradle/internal/concurrent/DefaultExecutorFactory$StoppableExecutorImpl:stop:94
java/lang/System.currentTimeMillis()J,org/gradle/tooling/internal/consumer/parameters/ConsumerOperationParameters:<init>:40
java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,org/gradle/internal/concurrent/DefaultExecutorFactory$StoppableExecutorImpl:execute:62
java/lang/System.currentTimeMillis()J,org/gradle/tooling/internal/consumer/parameters/ConsumerOperationParameters:<init>:41
java/lang/Thread.setName(Ljava/lang/String;)V,org/gradle/internal/concurrent/DefaultExecutorFactory$ThreadFactoryImpl:newThread:122
java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,org/gradle/internal/concurrent/DefaultExecutorFactory$ThreadFactoryImpl:newThread:120
java/util/concurrent/ExecutorService.shutdown()V,org/gradle/internal/concurrent/DefaultExecutorFactory$StoppableExecutorImpl:requestStop:79
java/lang/Thread.setName(Ljava/lang/String;)V,org/gradle/internal/concurrent/DefaultExecutorFactory$ThreadFactoryImpl:newThread:121
java/util/concurrent/locks/Lock.lock()V,org/gradle/tooling/internal/consumer/connection/LazyConnection:stop:60
java/util/concurrent/locks/Lock.unlock()V,org/gradle/tooling/internal/consumer/connection/LazyConnection:stop:73
java/util/concurrent/atomic/AtomicReferenceArray.length()I,com/google/common/collect/MapMakerInternalMap$Segment:expand:2493
java/util/concurrent/locks/Lock.lock()V,org/gradle/cache/internal/DefaultCacheFactory:openStore:59
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,com/google/common/collect/MapMakerInternalMap$Segment:postReadCleanup:2953
java/util/concurrent/locks/Lock.lock()V,org/gradle/cache/internal/DefaultCacheFactory$DirCacheReference:release:134
java/util/concurrent/Callable.call()Ljava/lang/Object;,org/gradle/api/internal/ConventionAwareHelper$2:getValue:85
java/util/concurrent/locks/Lock.lock()V,org/gradle/cache/internal/locklistener/DefaultFileLockContentionHandler:stop:119
java/util/concurrent/locks/Lock.unlock()V,org/gradle/cache/internal/DefaultCacheAccess:takeOwnership:218
java/lang/Runnable.run()V,org/gradle/internal/Factories$1:create:23
