sleepyline.cause,method,failureID.Uniq.Count,test
java/nio/ByteBuffer.arrayOffset()I,OBO,10,10
java/nio/ByteBuffer.asReadOnlyBuffer()Ljava/nio/ByteBuffer;,BIS,2,2
java/nio/ByteBuffer.asReadOnlyBuffer()Ljava/nio/ByteBuffer;,OBO,1,1
java/nio/ByteBuffer.compact()Ljava/nio/ByteBuffer;,BIS,2,2
java/nio/ByteBuffer.compact()Ljava/nio/ByteBuffer;,OBO,5,5
java/nio/ByteBuffer.duplicate()Ljava/nio/ByteBuffer;,BIS,10,10
java/nio/ByteBuffer.duplicate()Ljava/nio/ByteBuffer;,OBO,17,17
java/nio/ByteBuffer.equals(Ljava/lang/Object;)Z,BIS,1,1
java/nio/ByteBuffer.get()B,BIS,60,60
java/nio/ByteBuffer.get()B,OBO,68,68
java/nio/ByteBuffer.get(I)B,BIS,12,12
java/nio/ByteBuffer.get(I)B,OBO,16,16
java/nio/ByteBuffer.get([B)Ljava/nio/ByteBuffer;,BIS,13,13
java/nio/ByteBuffer.get([B)Ljava/nio/ByteBuffer;,OBO,13,13
java/nio/ByteBuffer.get([BII)Ljava/nio/ByteBuffer;,BIS,30,30
java/nio/ByteBuffer.get([BII)Ljava/nio/ByteBuffer;,OBO,46,46
java/nio/ByteBuffer.getInt()I,BIS,43,43
java/nio/ByteBuffer.getInt()I,OBO,38,38
java/nio/ByteBuffer.getInt(I)I,BIS,40,40
java/nio/ByteBuffer.getInt(I)I,OBO,85,85
java/nio/ByteBuffer.getLong()J,BIS,13,13
java/nio/ByteBuffer.getLong()J,OBO,1,1
java/nio/ByteBuffer.getShort()S,BIS,11,11
java/nio/ByteBuffer.getShort()S,OBO,11,11
java/nio/ByteBuffer.hasArray()Z,BIS,2,2
java/nio/ByteBuffer.hasArray()Z,OBO,2,2
java/nio/ByteBuffer.order()Ljava/nio/ByteOrder;,BIS,2,2
java/nio/ByteBuffer.order()Ljava/nio/ByteOrder;,OBO,2,2
java/nio/ByteBuffer.order(Ljava/nio/ByteOrder;)Ljava/nio/ByteBuffer;,BIS,3,3
java/nio/ByteBuffer.order(Ljava/nio/ByteOrder;)Ljava/nio/ByteBuffer;,OBO,3,3
java/nio/ByteBuffer.put(B)Ljava/nio/ByteBuffer;,BIS,83,83
java/nio/ByteBuffer.put(B)Ljava/nio/ByteBuffer;,OBO,91,91
java/nio/ByteBuffer.put(Ljava/nio/ByteBuffer;)Ljava/nio/ByteBuffer;,BIS,18,18
java/nio/ByteBuffer.put(Ljava/nio/ByteBuffer;)Ljava/nio/ByteBuffer;,OBO,25,25
java/nio/ByteBuffer.put([B)Ljava/nio/ByteBuffer;,BIS,22,22
java/nio/ByteBuffer.put([B)Ljava/nio/ByteBuffer;,OBO,37,37
java/nio/ByteBuffer.put([BII)Ljava/nio/ByteBuffer;,BIS,14,14
java/nio/ByteBuffer.put([BII)Ljava/nio/ByteBuffer;,OBO,20,20
java/nio/ByteBuffer.putInt(I)Ljava/nio/ByteBuffer;,BIS,77,77
java/nio/ByteBuffer.putInt(I)Ljava/nio/ByteBuffer;,OBO,59,59
java/nio/ByteBuffer.putLong(J)Ljava/nio/ByteBuffer;,BIS,23,23
java/nio/ByteBuffer.putLong(J)Ljava/nio/ByteBuffer;,OBO,2,2
java/nio/ByteBuffer.putShort(S)Ljava/nio/ByteBuffer;,BIS,11,11
java/nio/ByteBuffer.putShort(S)Ljava/nio/ByteBuffer;,OBO,11,11
java/nio/ByteBuffer.slice()Ljava/nio/ByteBuffer;,BIS,12,12
java/nio/ByteBuffer.slice()Ljava/nio/ByteBuffer;,OBO,23,23
java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,BIS,98,98
java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,OBO,80,80
java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,BIS,183,183
java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,OBO,173,173
java/nio/CharBuffer.allocate(I)Ljava/nio/CharBuffer;,BIS,7,7
java/nio/CharBuffer.allocate(I)Ljava/nio/CharBuffer;,OBO,16,16
java/nio/CharBuffer.array()[C,BIS,11,11
java/nio/CharBuffer.array()[C,OBO,15,15
java/nio/CharBuffer.compact()Ljava/nio/CharBuffer;,BIS,10,10
java/nio/CharBuffer.compact()Ljava/nio/CharBuffer;,OBO,15,15
java/nio/CharBuffer.put([CII)Ljava/nio/CharBuffer;,BIS,10,10
java/nio/CharBuffer.put([CII)Ljava/nio/CharBuffer;,OBO,15,15
java/nio/CharBuffer.toString()Ljava/lang/String;,BIS,31,31
java/nio/CharBuffer.toString()Ljava/lang/String;,OBO,18,18
java/nio/CharBuffer.wrap([C)Ljava/nio/CharBuffer;,BIS,38,38
java/nio/CharBuffer.wrap([C)Ljava/nio/CharBuffer;,OBO,38,38
java/nio/channels/DatagramChannel.receive(Ljava/nio/ByteBuffer;)Ljava/net/SocketAddress;,BIS,2,2
java/nio/channels/DatagramChannel.receive(Ljava/nio/ByteBuffer;)Ljava/net/SocketAddress;,OBO,2,2
java/nio/channels/DatagramChannel.send(Ljava/nio/ByteBuffer;Ljava/net/SocketAddress;)I,BIS,2,2
java/nio/channels/DatagramChannel.send(Ljava/nio/ByteBuffer;Ljava/net/SocketAddress;)I,OBO,2,2
java/nio/channels/DatagramChannel.socket()Ljava/net/DatagramSocket;,BIS,2,2
java/nio/channels/DatagramChannel.socket()Ljava/net/DatagramSocket;,OBO,2,2
java/nio/channels/FileChannel.force(Z)V,BIS,27,27
java/nio/channels/FileChannel.force(Z)V,OBO,22,22
java/nio/channels/FileChannel.lock(JJZ)Ljava/nio/channels/FileLock;,OBO,1,1
java/nio/channels/FileChannel.map(Ljava/nio/channels/FileChannel$MapMode;JJ)Ljava/nio/MappedByteBuffer;,OBO,3,3
java/nio/channels/FileChannel.position()J,BIS,50,50
java/nio/channels/FileChannel.position()J,OBO,28,28
java/nio/channels/FileChannel.position(J)Ljava/nio/channels/FileChannel;,BIS,1,1
java/nio/channels/FileChannel.position(J)Ljava/nio/channels/FileChannel;,OBO,2,2
java/nio/channels/FileChannel.read(Ljava/nio/ByteBuffer;)I,OBO,1,1
java/nio/channels/FileChannel.read(Ljava/nio/ByteBuffer;J)I,OBO,1,1
java/nio/channels/FileChannel.size()J,OBO,1,1
java/nio/channels/FileChannel.transferTo(JJLjava/nio/channels/WritableByteChannel;)J,BIS,23,23
java/nio/channels/FileChannel.transferTo(JJLjava/nio/channels/WritableByteChannel;)J,OBO,2,2
java/nio/channels/FileChannel.tryLock(JJZ)Ljava/nio/channels/FileLock;,BIS,1,1
java/nio/channels/FileChannel.tryLock(JJZ)Ljava/nio/channels/FileLock;,OBO,2,2
java/nio/channels/FileChannel.write(Ljava/nio/ByteBuffer;)I,OBO,1,1
java/nio/channels/FileChannel.write(Ljava/nio/ByteBuffer;J)I,BIS,24,24
java/nio/channels/FileChannel.write(Ljava/nio/ByteBuffer;J)I,OBO,23,23
java/nio/channels/FileLock.channel()Ljava/nio/channels/FileChannel;,BIS,1,1
