sleepyline.cause,method,failureID.Uniq.Count,test
java/util/concurrent/ConcurrentSkipListMap.get(Ljava/lang/Object;)Ljava/lang/Object;,OBO,1,1
java/util/concurrent/ConcurrentSkipListMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,BIS,2,2
java/util/concurrent/ConcurrentSkipListMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,OBO,1,1
java/util/concurrent/CopyOnWriteArrayList.add(Ljava/lang/Object;)Z,OBO,1,1
java/util/concurrent/CopyOnWriteArrayList.addIfAbsent(Ljava/lang/Object;)Z,BIS,3,3
java/util/concurrent/CopyOnWriteArrayList.addIfAbsent(Ljava/lang/Object;)Z,OBO,5,5
java/util/concurrent/CopyOnWriteArrayList.clear()V,BIS,1,1
java/util/concurrent/CopyOnWriteArrayList.clear()V,OBO,2,2
java/util/concurrent/CopyOnWriteArrayList.iterator()Ljava/util/Iterator;,BIS,17,17
java/util/concurrent/CopyOnWriteArrayList.iterator()Ljava/util/Iterator;,OBO,38,38
java/util/concurrent/CopyOnWriteArraySet.iterator()Ljava/util/Iterator;,BIS,2,2
java/util/concurrent/CopyOnWriteArraySet.iterator()Ljava/util/Iterator;,OBO,1,1
java/util/concurrent/CountDownLatch.await()V,BIS,1,1
java/util/concurrent/CountDownLatch.await()V,OBO,3,3
java/util/concurrent/CountDownLatch.await(JLjava/util/concurrent/TimeUnit;)Z,BIS,1,1
java/util/concurrent/CountDownLatch.await(JLjava/util/concurrent/TimeUnit;)Z,OBO,2,2
java/util/concurrent/CountDownLatch.countDown()V,BIS,30,30
java/util/concurrent/CountDownLatch.countDown()V,OBO,30,30
java/util/concurrent/CountDownLatch.getCount()J,OBO,1,1
java/util/concurrent/DelayQueue.clear()V,BIS,11,11
java/util/concurrent/DelayQueue.clear()V,OBO,7,7
java/util/concurrent/DelayQueue.poll()Ljava/util/concurrent/Delayed;,BIS,30,30
java/util/concurrent/DelayQueue.poll()Ljava/util/concurrent/Delayed;,OBO,1,1
java/util/concurrent/Delayed.getDelay(Ljava/util/concurrent/TimeUnit;)J,BIS,5,5
java/util/concurrent/Delayed.getDelay(Ljava/util/concurrent/TimeUnit;)J,OBO,2,2
java/util/concurrent/Executor.execute(Ljava/lang/Runnable;)V,BIS,19,19
java/util/concurrent/Executor.execute(Ljava/lang/Runnable;)V,OBO,21,21
java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,BIS,115,115
java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,OBO,145,145
java/util/concurrent/ExecutorService.isShutdown()Z,BIS,6,6
java/util/concurrent/ExecutorService.isShutdown()Z,OBO,6,6
java/util/concurrent/ExecutorService.shutdown()V,BIS,2,2
java/util/concurrent/ExecutorService.shutdown()V,OBO,5,5
java/util/concurrent/ExecutorService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,BIS,1,1
java/util/concurrent/ExecutorService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,OBO,1,1
java/util/concurrent/Executors.callable(Ljava/lang/Runnable;Ljava/lang/Object;)Ljava/util/concurrent/Callable;,BIS,3,3
java/util/concurrent/Executors.callable(Ljava/lang/Runnable;Ljava/lang/Object;)Ljava/util/concurrent/Callable;,OBO,5,5
java/util/concurrent/Executors.newCachedThreadPool(Ljava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ExecutorService;,BIS,2,2
java/util/concurrent/Executors.newCachedThreadPool(Ljava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ExecutorService;,OBO,8,8
java/util/concurrent/Executors.newFixedThreadPool(I)Ljava/util/concurrent/ExecutorService;,OBO,1,1
java/util/concurrent/Executors.newFixedThreadPool(ILjava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ExecutorService;,BIS,1,1
java/util/concurrent/Executors.newFixedThreadPool(ILjava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ExecutorService;,OBO,2,2
java/util/concurrent/Executors.newScheduledThreadPool(ILjava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ScheduledExecutorService;,BIS,2,2
java/util/concurrent/Executors.newScheduledThreadPool(ILjava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ScheduledExecutorService;,OBO,3,3
java/util/concurrent/ForkJoinTask.doExec()I,BIS,3,3
java/util/concurrent/ForkJoinTask.doExec()I,OBO,2,2
java/util/concurrent/ForkJoinTask.doInvoke()I,BIS,3,3
java/util/concurrent/ForkJoinTask.doInvoke()I,OBO,2,2
java/util/concurrent/ForkJoinTask.expungeStaleExceptions()V,BIS,1,1
java/util/concurrent/ForkJoinTask.externalInterruptibleAwaitDone()I,BIS,1,1
java/util/concurrent/ForkJoinTask.externalInterruptibleAwaitDone()I,OBO,1,1
java/util/concurrent/ForkJoinTask.getRawResult()Ljava/lang/Object;,BIS,3,3
java/util/concurrent/ForkJoinTask.getRawResult()Ljava/lang/Object;,OBO,2,2
java/util/concurrent/Future.get()Ljava/lang/Object;,BIS,5,5
java/util/concurrent/Future.get()Ljava/lang/Object;,OBO,6,6
java/util/concurrent/Future.get(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,BIS,2,2
java/util/concurrent/Future.get(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,OBO,3,3
java/util/concurrent/Future.isCancelled()Z,BIS,1,1
java/util/concurrent/Future.isCancelled()Z,OBO,1,1
java/util/concurrent/FutureTask.awaitDone(ZJ)I,BIS,1,1
java/util/concurrent/FutureTask.awaitDone(ZJ)I,OBO,1,1
java/util/concurrent/FutureTask.done()V,BIS,6,6
java/util/concurrent/FutureTask.done()V,OBO,9,9
java/util/concurrent/FutureTask.finishCompletion()V,BIS,9,9
java/util/concurrent/FutureTask.finishCompletion()V,OBO,8,8
java/util/concurrent/FutureTask.report(I)Ljava/lang/Object;,BIS,1,1
java/util/concurrent/FutureTask.report(I)Ljava/lang/Object;,OBO,1,1
java/util/concurrent/FutureTask.set(Ljava/lang/Object;)V,BIS,8,8
java/util/concurrent/FutureTask.set(Ljava/lang/Object;)V,OBO,8,8
java/util/concurrent/LinkedBlockingQueue.clear()V,OBO,2,2
java/util/concurrent/LinkedBlockingQueue.drainTo(Ljava/util/Collection;)I,BIS,2,2
java/util/concurrent/LinkedBlockingQueue.iterator()Ljava/util/Iterator;,BIS,6,6
java/util/concurrent/LinkedBlockingQueue.iterator()Ljava/util/Iterator;,OBO,8,8
java/util/concurrent/LinkedBlockingQueue.peek()Ljava/lang/Object;,BIS,5,5
java/util/concurrent/LinkedBlockingQueue.peek()Ljava/lang/Object;,OBO,8,8
java/util/concurrent/LinkedBlockingQueue.poll()Ljava/lang/Object;,BIS,26,26
java/util/concurrent/LinkedBlockingQueue.poll()Ljava/lang/Object;,OBO,24,24
java/util/concurrent/LinkedBlockingQueue.poll(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,BIS,1,1
java/util/concurrent/LinkedBlockingQueue.size()I,BIS,6,6
java/util/concurrent/LinkedBlockingQueue.size()I,OBO,8,8
java/util/concurrent/LinkedBlockingQueue.take()Ljava/lang/Object;,BIS,29,29
java/util/concurrent/LinkedBlockingQueue.take()Ljava/lang/Object;,OBO,26,26
java/util/concurrent/PriorityBlockingQueue.add(Ljava/lang/Object;)Z,BIS,14,14
java/util/concurrent/PriorityBlockingQueue.add(Ljava/lang/Object;)Z,OBO,16,16
java/util/concurrent/PriorityBlockingQueue.peek()Ljava/lang/Object;,OBO,1,1
java/util/concurrent/PriorityBlockingQueue.remove(Ljava/lang/Object;)Z,BIS,5,5
java/util/concurrent/PriorityBlockingQueue.remove(Ljava/lang/Object;)Z,OBO,8,8
java/util/concurrent/ScheduledExecutorService.scheduleAtFixedRate(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,OBO,1,1
java/util/concurrent/ScheduledExecutorService.scheduleWithFixedDelay(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,BIS,2,2
java/util/concurrent/ScheduledExecutorService.scheduleWithFixedDelay(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,OBO,2,2
java/util/concurrent/ScheduledThreadPoolExecutor.schedule(Ljava/lang/Runnable;JLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,OBO,1,1
java/util/concurrent/ScheduledThreadPoolExecutor.scheduleWithFixedDelay(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,BIS,2,2
java/util/concurrent/ScheduledThreadPoolExecutor.scheduleWithFixedDelay(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,OBO,3,3
java/util/concurrent/ThreadLocalRandom.current()Ljava/util/concurrent/ThreadLocalRandom;,BIS,3,3
java/util/concurrent/ThreadLocalRandom.current()Ljava/util/concurrent/ThreadLocalRandom;,OBO,4,4
java/util/concurrent/ThreadLocalRandom.nextInt()I,OBO,1,1
java/util/concurrent/ThreadPoolExecutor.getCompletedTaskCount()J,BIS,1,1
java/util/concurrent/ThreadPoolExecutor.getCompletedTaskCount()J,OBO,1,1
java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,BIS,35,35
java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,OBO,27,27
java/util/concurrent/atomic/AtomicBoolean.get()Z,BIS,120,120
java/util/concurrent/atomic/AtomicBoolean.get()Z,OBO,103,103
java/util/concurrent/atomic/AtomicBoolean.getAndSet(Z)Z,BIS,4,4
java/util/concurrent/atomic/AtomicBoolean.getAndSet(Z)Z,OBO,4,4
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,BIS,34,34
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,OBO,36,36
java/util/concurrent/atomic/AtomicInteger.addAndGet(I)I,BIS,10,10
java/util/concurrent/atomic/AtomicInteger.addAndGet(I)I,OBO,7,7
java/util/concurrent/atomic/AtomicInteger.compareAndSet(II)Z,BIS,4,4
java/util/concurrent/atomic/AtomicInteger.compareAndSet(II)Z,OBO,5,5
java/util/concurrent/atomic/AtomicInteger.decrementAndGet()I,BIS,13,13
java/util/concurrent/atomic/AtomicInteger.decrementAndGet()I,OBO,14,14
java/util/concurrent/atomic/AtomicInteger.get()I,BIS,74,74
java/util/concurrent/atomic/AtomicInteger.get()I,OBO,38,38
java/util/concurrent/atomic/AtomicInteger.getAndAdd(I)I,BIS,1,1
java/util/concurrent/atomic/AtomicInteger.getAndAdd(I)I,OBO,1,1
java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,BIS,25,25
java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,OBO,35,35
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,BIS,83,83
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,OBO,118,118
java/util/concurrent/atomic/AtomicInteger.intValue()I,BIS,7,7
java/util/concurrent/atomic/AtomicInteger.intValue()I,OBO,12,12
java/util/concurrent/atomic/AtomicInteger.set(I)V,BIS,15,15
java/util/concurrent/atomic/AtomicInteger.set(I)V,OBO,19,19
java/util/concurrent/atomic/AtomicIntegerArray.getAndIncrement(I)I,BIS,40,40
java/util/concurrent/atomic/AtomicIntegerArray.getAndIncrement(I)I,OBO,40,40
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.compareAndSet(Ljava/lang/Object;II)Z,BIS,5,5
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.compareAndSet(Ljava/lang/Object;II)Z,OBO,5,5
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.decrementAndGet(Ljava/lang/Object;)I,OBO,7,7
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.get(Ljava/lang/Object;)I,BIS,2,2
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.get(Ljava/lang/Object;)I,OBO,2,2
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.getAndAdd(Ljava/lang/Object;I)I,BIS,3,3
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.getAndAdd(Ljava/lang/Object;I)I,OBO,3,3
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicIntegerFieldUpdater;,BIS,4,4
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicIntegerFieldUpdater;,OBO,4,4
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.set(Ljava/lang/Object;I)V,BIS,3,3
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.set(Ljava/lang/Object;I)V,OBO,3,3
java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,BIS,114,114
java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,OBO,115,115
java/util/concurrent/atomic/AtomicLong.compareAndSet(JJ)Z,BIS,18,18
java/util/concurrent/atomic/AtomicLong.compareAndSet(JJ)Z,OBO,15,15
java/util/concurrent/atomic/AtomicLong.decrementAndGet()J,BIS,1,1
java/util/concurrent/atomic/AtomicLong.decrementAndGet()J,OBO,1,1
java/util/concurrent/atomic/AtomicLong.get()J,BIS,139,139
java/util/concurrent/atomic/AtomicLong.get()J,OBO,164,164
java/util/concurrent/atomic/AtomicLong.getAndAdd(J)J,BIS,5,5
java/util/concurrent/atomic/AtomicLong.getAndAdd(J)J,OBO,5,5
java/util/concurrent/atomic/AtomicLong.getAndIncrement()J,BIS,12,12
java/util/concurrent/atomic/AtomicLong.getAndIncrement()J,OBO,12,12
java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,BIS,93,93
java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,OBO,87,87
java/util/concurrent/atomic/AtomicLong.longValue()J,BIS,18,18
java/util/concurrent/atomic/AtomicLong.longValue()J,OBO,3,3
java/util/concurrent/atomic/AtomicLong.set(J)V,BIS,66,66
java/util/concurrent/atomic/AtomicLong.set(J)V,OBO,56,56
java/util/concurrent/atomic/AtomicLongFieldUpdater.addAndGet(Ljava/lang/Object;J)J,BIS,9,9
java/util/concurrent/atomic/AtomicLongFieldUpdater.addAndGet(Ljava/lang/Object;J)J,OBO,8,8
java/util/concurrent/atomic/AtomicLongFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicLongFieldUpdater;,BIS,2,2
java/util/concurrent/atomic/AtomicLongFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicLongFieldUpdater;,OBO,2,2
java/util/concurrent/atomic/AtomicLongFieldUpdater.set(Ljava/lang/Object;J)V,OBO,2,2
java/util/concurrent/atomic/AtomicReference.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;)Z,BIS,6,6
java/util/concurrent/atomic/AtomicReference.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;)Z,OBO,6,6
java/util/concurrent/atomic/AtomicReference.get()Ljava/lang/Object;,BIS,86,86
java/util/concurrent/atomic/AtomicReference.get()Ljava/lang/Object;,OBO,62,62
java/util/concurrent/atomic/AtomicReference.getAndSet(Ljava/lang/Object;)Ljava/lang/Object;,BIS,1,1
java/util/concurrent/atomic/AtomicReference.getAndSet(Ljava/lang/Object;)Ljava/lang/Object;,OBO,1,1
java/util/concurrent/atomic/AtomicReference.set(Ljava/lang/Object;)V,BIS,8,8
java/util/concurrent/atomic/AtomicReference.set(Ljava/lang/Object;)V,OBO,12,12
java/util/concurrent/atomic/AtomicReferenceArray.get(I)Ljava/lang/Object;,BIS,50,50
java/util/concurrent/atomic/AtomicReferenceArray.get(I)Ljava/lang/Object;,OBO,44,44
java/util/concurrent/atomic/AtomicReferenceArray.length()I,BIS,13,13
java/util/concurrent/atomic/AtomicReferenceArray.length()I,OBO,11,11
java/util/concurrent/atomic/AtomicReferenceArray.set(ILjava/lang/Object;)V,BIS,3,3
java/util/concurrent/atomic/AtomicReferenceArray.set(ILjava/lang/Object;)V,OBO,4,4
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,BIS,11,11
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,OBO,13,13
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.getAndSet(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,BIS,3,3
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.getAndSet(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,OBO,14,14
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicReferenceFieldUpdater;,BIS,3,3
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicReferenceFieldUpdater;,OBO,4,4
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.set(Ljava/lang/Object;Ljava/lang/Object;)V,BIS,6,6
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.set(Ljava/lang/Object;Ljava/lang/Object;)V,OBO,7,7
java/util/concurrent/locks/Condition.await()V,BIS,1,1
java/util/concurrent/locks/Condition.await()V,OBO,4,4
java/util/concurrent/locks/Condition.await(JLjava/util/concurrent/TimeUnit;)Z,BIS,2,2
java/util/concurrent/locks/Condition.await(JLjava/util/concurrent/TimeUnit;)Z,OBO,5,5
java/util/concurrent/locks/Condition.signal()V,BIS,3,3
java/util/concurrent/locks/Condition.signal()V,OBO,11,11
java/util/concurrent/locks/Condition.signalAll()V,BIS,1,1
java/util/concurrent/locks/Condition.signalAll()V,OBO,4,4
java/util/concurrent/locks/Lock.lock()V,BIS,31,31
java/util/concurrent/locks/Lock.lock()V,OBO,32,32
java/util/concurrent/locks/Lock.newCondition()Ljava/util/concurrent/locks/Condition;,BIS,5,5
java/util/concurrent/locks/Lock.newCondition()Ljava/util/concurrent/locks/Condition;,OBO,6,6
java/util/concurrent/locks/Lock.tryLock()Z,OBO,1,1
java/util/concurrent/locks/Lock.tryLock(JLjava/util/concurrent/TimeUnit;)Z,OBO,2,2
java/util/concurrent/locks/Lock.unlock()V,BIS,27,27
java/util/concurrent/locks/Lock.unlock()V,OBO,30,30
java/util/concurrent/locks/LockSupport.park(Ljava/lang/Object;)V,BIS,1,1
java/util/concurrent/locks/LockSupport.park(Ljava/lang/Object;)V,OBO,1,1
java/util/concurrent/locks/LockSupport.unpark(Ljava/lang/Thread;)V,BIS,10,10
java/util/concurrent/locks/LockSupport.unpark(Ljava/lang/Thread;)V,OBO,9,9
java/util/concurrent/locks/ReentrantLock.lock()V,BIS,29,29
java/util/concurrent/locks/ReentrantLock.lock()V,OBO,38,38
java/util/concurrent/locks/ReentrantLock.newCondition()Ljava/util/concurrent/locks/Condition;,BIS,4,4
java/util/concurrent/locks/ReentrantLock.newCondition()Ljava/util/concurrent/locks/Condition;,OBO,10,10
java/util/concurrent/locks/ReentrantLock.tryLock()Z,BIS,3,3
java/util/concurrent/locks/ReentrantLock.tryLock()Z,OBO,1,1
java/util/concurrent/locks/ReentrantLock.unlock()V,BIS,28,28
java/util/concurrent/locks/ReentrantLock.unlock()V,OBO,38,38
java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.lock()V,BIS,58,58
java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.lock()V,OBO,43,43
java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.unlock()V,BIS,52,52
java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.unlock()V,OBO,45,45
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,BIS,62,62
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,OBO,57,57
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,BIS,64,64
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,OBO,57,57
javax/net/SocketFactory.createSocket()Ljava/net/Socket;,BIS,6,6
javax/net/SocketFactory.createSocket()Ljava/net/Socket;,OBO,3,3
javax/net/SocketFactory.createSocket(Ljava/net/InetAddress;I)Ljava/net/Socket;,BIS,1,1
javax/net/SocketFactory.createSocket(Ljava/net/InetAddress;I)Ljava/net/Socket;,OBO,1,1
