method,totalConfigs,sleepyline.cause,config.Count,proportion
BIS,14666,java/nio/CharBuffer.array()[C,16,0.0010909586799399973
BIS,14666,java/nio/CharBuffer.compact()Ljava/nio/CharBuffer;,14,0.0009545888449474976
BIS,14666,java/nio/CharBuffer.put([CII)Ljava/nio/CharBuffer;,14,0.0009545888449474976
BIS,14666,java/nio/CharBuffer.toString()Ljava/lang/String;,56,0.0038183553797899905
BIS,14666,java/nio/CharBuffer.wrap([C)Ljava/nio/CharBuffer;,62,0.0042274648847674895
BIS,14666,java/nio/channels/DatagramChannel.receive(Ljava/nio/ByteBuffer;)Ljava/net/SocketAddress;,4,0.0002727396699849993
BIS,14666,java/nio/channels/DatagramChannel.send(Ljava/nio/ByteBuffer;Ljava/net/SocketAddress;)I,2,0.00013636983499249966
BIS,14666,java/nio/channels/DatagramChannel.socket()Ljava/net/DatagramSocket;,6,0.000409109504977499
BIS,14666,java/nio/channels/FileChannel.force(Z)V,30,0.002045547524887495
BIS,14666,java/nio/channels/FileChannel.position()J,70,0.0047729442247374885
BIS,14666,java/nio/channels/FileChannel.position(J)Ljava/nio/channels/FileChannel;,3,0.0002045547524887495
BIS,14666,java/nio/channels/FileChannel.transferTo(JJLjava/nio/channels/WritableByteChannel;)J,34,0.002318287194872494
BIS,14666,java/nio/channels/FileChannel.tryLock(JJZ)Ljava/nio/channels/FileLock;,1,6.818491749624983e-05
BIS,14666,java/nio/channels/FileChannel.write(Ljava/nio/ByteBuffer;J)I,25,0.0017046229374062458
BIS,14666,java/nio/channels/FileLock.channel()Ljava/nio/channels/FileChannel;,1,6.818491749624983e-05
BIS,14666,java/nio/channels/ReadableByteChannel.read(Ljava/nio/ByteBuffer;)I,102,0.006954861584617483
BIS,14666,java/nio/channels/SelectableChannel.configureBlocking(Z)Ljava/nio/channels/SelectableChannel;,90,0.006136642574662485
BIS,14666,java/nio/channels/SelectableChannel.provider()Ljava/nio/channels/spi/SelectorProvider;,81,0.005522978317196236
BIS,14666,java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;I)Ljava/nio/channels/SelectionKey;,86,0.0058639029046774855
BIS,14666,java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;ILjava/lang/Object;)Ljava/nio/channels/SelectionKey;,41,0.002795581617346243
